# Columns: id	status	depends_on	validate	accept	files	title	notes
# Run: long-run/20260421-225013  Total: 31 tasks
T0.1	TODO	none	.venv/bin/python -m pytest tests/test_slug_util.py -q && grep -q _slug_util scripts/build_event_shells.py && grep -q _slug_util scripts/build_rss_feed.py	scripts/_slug_util.py exists; build_event_shells.py and build_rss_feed.py import from it; unit test green	scripts/_slug_util.py,scripts/build_event_shells.py,scripts/build_rss_feed.py,tests/test_slug_util.py	Extract shared _safe_slug into scripts/_slug_util.py	ctype=refactor
T0.2	TODO	none	.venv/bin/python -m pytest tests/test_config_buttondown.py -q && grep -q buttondown_endpoint config/master_config.yaml	master_config.yaml has distribution.buttondown_endpoint key (default empty string); loader test round-trips	config/master_config.yaml,src/config_loader.py,tests/test_config_buttondown.py	Add distribution.buttondown_endpoint to master_config	ctype=feat
T0.3	TODO	T0.2	.venv/bin/python scripts/build_config_json.py && .venv/bin/python -c "import json; c=json.load(open('docs/config.json')); assert 'buttondown_endpoint' in c and 'site_base_url' in c"	scripts/build_config_json.py emits docs/config.json with buttondown_endpoint + site_base_url keys	scripts/build_config_json.py,docs/config.json,tests/test_build_config_json.py	Emit docs/config.json from master_config	ctype=feat
T1.1	TODO	none	grep -q cc_share_twitter docs/script.js && grep -q cc_share_bluesky docs/script.js && grep -q cc_share_threads docs/script.js && grep -q cc_share_whatsapp docs/script.js && grep -qE 'cc_share_(linkedin|mastodon|sms)' docs/script.js && grep -q email-digest-button docs/script.js	Share popover iterates 9 platforms; email-digest button uses same share module; each platform emits its own Plausible event	docs/script.js,docs/styles.css	Refactor share menu to 9 platforms + reuse for digest	ctype=feat [persona-gate]
T1.2	TODO	T1.1	grep -qE 'one_liner' docs/script.js && grep -qE 'shareText.*one_liner|one_liner.*shareText' docs/script.js	Share text uses event one_liner when present, falls back to title	docs/script.js	Pre-craft share text from one-liner hook	ctype=feat
T1.3	TODO	T1.1	.venv/bin/python -c "import re; css=open('docs/styles.css').read(); assert re.search(r'\.share-popover', css) and re.search(r'@media', css)"	share-popover CSS rule exists and file contains at least one @media rule (mobile breakpoint)	docs/styles.css	Polish share menu CSS for 375px mobile	ctype=fix
T2.1	TODO	T0.3	grep -q CC_CONFIG docs/script.js && grep -q config.json docs/script.js	docs/script.js fetches config.json on init and exposes window.CC_CONFIG	docs/script.js	Load docs/config.json into window.CC_CONFIG on page init	ctype=feat
T2.2	TODO	T2.1	grep -q signup-form docs/index.html && grep -q cc_subscribe_email docs/script.js	Index has signup form; script fires cc_subscribe_email Plausible event on submit; endpoint from CC_CONFIG with stub fallback	docs/index.html,docs/script.js,docs/styles.css	Masthead Buttondown signup form with stub fallback	ctype=feat [persona-gate]
T2.3	TODO	none	test -f docs/subscribed.html && test -f docs/unsubscribed.html && grep -q masthead docs/subscribed.html && grep -q masthead docs/unsubscribed.html	Both subscribed.html and unsubscribed.html exist with masthead-style header	docs/subscribed.html,docs/unsubscribed.html,docs/styles.css	Subscribed and unsubscribed landing pages	ctype=feat
T2.4	TODO	none	.venv/bin/python -m pytest tests/test_build_archive.py -q && .venv/bin/python scripts/build_archive.py && test -f docs/archive.html && grep -q weekly/ docs/archive.html	build_archive.py emits docs/archive.html listing every weekly/*.html with summary	scripts/build_archive.py,docs/archive.html,tests/test_build_archive.py	Weekly-digest archive page	ctype=feat
T2.5	TODO	T2.2	grep -q signup-form scripts/build_weekly_digest.py	build_weekly_digest.py embeds signup-form block in digest footer	scripts/build_weekly_digest.py	Append signup form to weekly digest footer	ctype=feat
T2.6	TODO	none	grep -qi 'mailing list' docs/ABOUT.md	ABOUT.md has a 'Mailing list' section explaining cadence + opt-out	docs/ABOUT.md	Document mailing list in ABOUT	ctype=docs
T3.1	TODO	none	.venv/bin/python -m pytest tests/test_build_llms_txt.py -q && .venv/bin/python scripts/build_llms_txt.py && test -f docs/llms.txt && test -f docs/llms-full.txt && grep -q 'Culture Calendar' docs/llms.txt	build_llms_txt.py emits docs/llms.txt (spec format) + docs/llms-full.txt (content dump)	scripts/build_llms_txt.py,docs/llms.txt,docs/llms-full.txt,tests/test_build_llms_txt.py	Emit llms.txt and llms-full.txt	ctype=feat
T3.2	TODO	none	.venv/bin/python -m pytest tests/test_build_api_json.py -q && .venv/bin/python scripts/build_api_json.py && .venv/bin/python -c "import json; [json.load(open('docs/api/'+f)) for f in ['events.json','top-picks.json','venues.json','people.json','categories.json']]"	docs/api/{events,top-picks,venues,people,categories}.json all exist and parse as JSON	scripts/build_api_json.py,docs/api/events.json,docs/api/top-picks.json,docs/api/venues.json,docs/api/people.json,docs/api/categories.json,tests/test_build_api_json.py	Emit /api/*.json aggregate endpoints	ctype=feat
T3.3	TODO	T3.2	ls docs/events/*.json >/dev/null && .venv/bin/python -c "import json,glob; files=glob.glob('docs/events/*.json'); assert len(files)>=50; json.load(open(files[0]))"	docs/events/<slug>.json emitted per event; mirror of JSON-LD shape	scripts/build_api_json.py	Emit per-event canonical JSON	ctype=feat
T3.4	TODO	none	grep -q GPTBot docs/robots.txt && grep -q ClaudeBot docs/robots.txt && grep -q PerplexityBot docs/robots.txt && grep -q Sitemap docs/robots.txt	robots.txt explicitly allows GPTBot, ClaudeBot, PerplexityBot, CCBot, Google-Extended, Meta-ExternalAgent, Amazonbot; sitemap line preserved	docs/robots.txt,scripts/build_robots.py,tests/test_robots_ai_crawlers.py	Add AI-crawler allowlist to robots.txt	ctype=feat [persona-gate]
T3.5	TODO	none	.venv/bin/python scripts/build_ai_agent_manifest.py && test -f docs/.well-known/ai-agent.json && .venv/bin/python -c "import json; m=json.load(open('docs/.well-known/ai-agent.json')); assert len(m.get('endpoints',[]))>=5"	docs/.well-known/ai-agent.json exists, parses, has >=5 endpoints	scripts/build_ai_agent_manifest.py,docs/.well-known/ai-agent.json,tests/test_build_ai_agent_manifest.py	Emit .well-known/ai-agent.json manifest	ctype=feat
T3.6	TODO	T3.5	test -f docs/api/README.md && test -f docs/api/index.html && grep -q events.json docs/api/index.html	docs/api/README.md describes JSON shapes; docs/api/index.html renders the guide	docs/api/README.md,docs/api/index.html	Agent-facing API docs page	ctype=docs
T3.7	TODO	T3.1,T3.2,T3.4,T3.5	grep -q build_llms_txt update_website_data.py && grep -q build_api_json update_website_data.py && grep -q build_ai_agent_manifest update_website_data.py	update_website_data.py invokes build_llms_txt, build_api_json, build_ai_agent_manifest in final step	update_website_data.py	Wire agent builders into update_website_data	ctype=feat
T4.1	TODO	none	grep -q 'application/ld+json' docs/index.html && grep -q WebSite docs/index.html && grep -q ItemList docs/index.html && grep -q Organization docs/index.html	Index head has WebSite + Organization + ItemList JSON-LD including Sitelinks Search Box	docs/index.html	Inject WebSite/Organization/ItemList JSON-LD into index	ctype=feat
T4.2	TODO	none	grep -q BreadcrumbList scripts/build_venue_pages.py && grep -q BreadcrumbList scripts/build_people_pages.py && grep -q BreadcrumbList scripts/build_weekly_digest.py && grep -q BreadcrumbList scripts/build_event_shells.py	BreadcrumbList JSON-LD emitted by venue, people, weekly, event-shell builders	scripts/build_venue_pages.py,scripts/build_people_pages.py,scripts/build_weekly_digest.py,scripts/build_event_shells.py	BreadcrumbList JSON-LD on generated pages	ctype=feat
T4.3	TODO	none	grep -q aggregateRating scripts/build_event_shells.py && grep -q 'offers' scripts/build_event_shells.py	Event JSON-LD in shells includes aggregateRating and offers.url	scripts/build_event_shells.py,tests/test_event_shell_jsonld.py	Add aggregateRating and offers to event JSON-LD	ctype=feat
T4.4	TODO	none	grep -q 'rel="canonical"' scripts/build_venue_pages.py && grep -q 'rel="canonical"' scripts/build_people_pages.py && grep -q 'rel="canonical"' scripts/build_weekly_digest.py && grep -q 'meta name="description"' scripts/build_venue_pages.py && grep -q 'meta name="description"' scripts/build_weekly_digest.py	Canonical + meta description emitted for venue, people, weekly pages	scripts/build_venue_pages.py,scripts/build_people_pages.py,scripts/build_weekly_digest.py,scripts/build_event_shells.py	Canonical URL + meta description on generated pages	ctype=feat
