# Columns: id	status	depends_on	validate	accept	files	title	notes
# Run: long-run/20260422-203219  Total: 26 tasks (recovery: TA.1/TA.2 prepended; T0.1/T0.2/T0.3 marked DONE post-hoc)
TA.1	DONE	none	.venv/bin/python -m pytest tests/test_persona_critique_bedrock.py -q	persona_critique.py and bench_personas.py use AnthropicBedrock() client when CLAUDE_CODE_USE_BEDROCK=1; model IDs read from ANTHROPIC_DEFAULT_{SONNET,HAIKU,OPUS}_MODEL env vars with Bedrock-format defaults; backward-compat path for direct API preserved; smoke-import clean	scripts/persona_critique.py,scripts/bench_personas.py,tests/test_persona_critique_bedrock.py	Port persona_critique.py and bench_personas.py to Bedrock	ctype=feat [persona-gate]
TA.2	DONE	TA.1	.venv/bin/python scripts/bench_personas.py --dry-run && test -f config/persona_model.json && .venv/bin/python -c "import json; m=json.load(open('config/persona_model.json'))['model']; assert m.startswith('us.anthropic.') or m.startswith('global.anthropic.'), f'model {m} is not a Bedrock ID'"	config/persona_model.json contains a Bedrock-format model ID; docs/persona_model_benchmark.md documents the Bedrock benchmark run	config/persona_model.json,docs/persona_model_benchmark.md	Re-benchmark personas under Bedrock and commit selected model	ctype=chore
T0.1	DONE	none	.venv/bin/python -m pytest tests/test_venue_addresses.py -q	Every venue in master_config.yaml has address + display_name; unit test green	config/master_config.yaml,tests/test_venue_addresses.py	Seed venue addresses in master_config	ctype=feat (commit=9ebd4a7 — DONE pre-halt)
T0.2	DONE	T0.1	.venv/bin/python -c "import json,subprocess; subprocess.run(['.venv/bin/python','update_website_data.py','--test-week','--force-reprocess'],check=False); d=json.load(open('docs/data.json')); events=[e for v in d.values() for e in (v if isinstance(v,list) else [])]; assert any(ev.get('venue_address') for ev in events), 'no venue_address in data.json'"	docs/data.json events carry venue_address + venue_display_name fields	update_website_data.py	Propagate venue address and display name into data.json	ctype=feat (commit=b7b36cb — DONE pre-halt)
T0.3	DONE	T0.1	.venv/bin/python -m pytest tests/test_build_api_json.py -q && .venv/bin/python scripts/build_api_json.py && .venv/bin/python -c "import json; v=json.load(open('docs/api/venues.json')); assert all('address' in x and 'display_name' in x for x in (v if isinstance(v,list) else v.values()))"	docs/api/venues.json entries all have address and display_name keys	scripts/build_api_json.py,docs/api/venues.json,tests/test_build_api_json.py	Add address and display_name to venues api.json	ctype=feat (commit=a1a7577 — DONE pre-halt)
T0.4	DONE	T0.1	.venv/bin/python -m pytest tests/test_build_event_shells.py -q && .venv/bin/python -c "import glob,re; files=glob.glob('docs/events/*.html'); sample=open(files[0]).read() if files else ''; assert 'streetAddress' in sample, 'no streetAddress in event shell JSON-LD'"	Event shell JSON-LD location.address includes streetAddress and postalCode	scripts/build_event_shells.py,tests/test_build_event_shells.py	Add streetAddress and postalCode to event shell JSON-LD	ctype=feat
T1.1	DONE	T0.2	.venv/bin/python -m pytest tests/test_build_event_ics.py -q && .venv/bin/python scripts/build_event_ics.py && .venv/bin/python -c "import glob; files=glob.glob('docs/events/*.ics'); assert len(files)>=10; body=open(files[0]).read(); assert 'BEGIN:VCALENDAR' in body and 'SUMMARY:' in body"	build_event_ics.py emits per-event .ics files; each parses as valid iCalendar	scripts/build_event_ics.py,tests/test_build_event_ics.py	Emit per-event ICS files under docs/events	ctype=feat
T1.2	DONE	T1.1	grep -q build_event_ics update_website_data.py	update_website_data.py invokes build_event_ics in final step	update_website_data.py	Wire build_event_ics into update_website_data	ctype=feat
T1.3	DONE	T1.2	grep -q cc_share_google_calendar docs/script.js && grep -q 'calendar.google.com/calendar/render' docs/script.js	PLATFORMS array includes google-calendar entry firing cc_share_google_calendar with correct URL template	docs/script.js	Add Google Calendar share-intent entry	ctype=feat
T1.4	DONE	T1.2	grep -q cc_share_apple_calendar docs/script.js && grep -q 'webcal://' docs/script.js	PLATFORMS array includes apple-calendar entry using webcal:// URL to per-event .ics	docs/script.js	Add Apple Calendar share-intent entry	ctype=feat
T1.5	TODO	T1.3,T1.4	.venv/bin/python -c "import json; inv=json.load(open('.overnight/feature-inventory.json')); ids=[x['id'] for x in inv]; assert 'share-google-calendar' in ids and 'share-apple-calendar' in ids and 'per-event-ics' in ids"	feature-inventory has share-google-calendar, share-apple-calendar, per-event-ics entries	.overnight/feature-inventory.json	Feature-inventory entries for calendar intents	ctype=feat
T2.1	DONE	none	.venv/bin/python -m pytest tests/test_persona_critique_shared_page.py -q	persona_critique.py reuses pyppeteer page from check_live_site (same browser session; no fresh page.goto before screenshot)	scripts/persona_critique.py,scripts/check_live_site.py,tests/test_persona_critique_shared_page.py	Share pyppeteer page between check_live_site and persona_critique	ctype=refactor
T2.2	TODO	T2.1	.venv/bin/python -m pytest tests/test_persona_fullpage_screenshot.py -q && grep -q 'fullPage.*True\|"fullPage": True' scripts/persona_critique.py && grep -qE 'DOM_SNIPPET_MAX_BYTES *= *40' scripts/persona_critique.py	Screenshot uses fullPage:True; DOM snippet limit raised to 40000 bytes	scripts/persona_critique.py,tests/test_persona_fullpage_screenshot.py	Full-page screenshot and larger DOM snippet	ctype=fix
T2.3	TODO	T2.1	.venv/bin/python -m pytest tests/test_check_live_site_pre_actions.py -q && grep -q pre_screenshot_actions scripts/check_live_site.py	check_live_site.py supports pre_screenshot_actions (scroll/type/click) replayed before screenshot capture	scripts/check_live_site.py,tests/test_check_live_site_pre_actions.py	Add pre_screenshot_actions executor to check_live_site	ctype=feat
T2.4	TODO	T2.3	.venv/bin/python -m pytest tests/test_persona_ground_truth.py -q && grep -q ground_truth scripts/persona_critique.py && grep -q ground_truth scripts/check_live_site.py	check_live_site writes ground-truth JSON of per-selector presence/count; persona_critique injects into LLM prompt	scripts/check_live_site.py,scripts/persona_critique.py,tests/test_persona_ground_truth.py	Ground-truth JSON passed from check_live_site to persona LLM	ctype=feat
T2.5	TODO	T2.3,T2.4	.venv/bin/python -c "import json,glob; files=sorted(glob.glob('.overnight/personas/*.json')); assert len(files)==6; [json.load(open(f)) for f in files]; assert any('pre_screenshot_actions' in json.load(open(f)) for f in files); [print(open(f).read()) for f in files if 'ground-truth' in open(f).read().lower()]"	All 6 persona JSONs parse; at least one has pre_screenshot_actions; llm.goals updated with ground-truth acknowledgement	.overnight/personas/comprehensiveness-user.json,.overnight/personas/continuity-user.json,.overnight/personas/logistics-user.json,.overnight/personas/mobile-user.json,.overnight/personas/review-reader.json,.overnight/personas/search-user.json	Update persona specs with pre_screenshot_actions and ground-truth goals	ctype=feat [persona-gate]
T3.1	DONE	T0.2	grep -q venue_display_name docs/script.js && grep -q venue_address docs/script.js	buildPickCard and buildListingCard render venue display_name as primary label and address on a secondary line	docs/script.js,docs/styles.css	Render venue display-name and street address on card face	ctype=feat [persona-gate]
T3.2	DONE	none	grep -q event-ticket-link docs/script.js && grep -q 'Get Tickets' docs/script.js	Expanded panel (both pick and listing cards) contains .event-ticket-link with href=event.url and label Get Tickets	docs/script.js,docs/styles.css	Add Get Tickets button to expanded event panel	ctype=feat
T3.3	DONE	none	grep -q 'role="button"' docs/script.js && grep -q 'aria-label="Expand details"' docs/script.js && grep -qE 'tabindex="0"|tabIndex = 0' docs/script.js && grep -qE 'event.key === .Enter.|keyCode === 13' docs/script.js	event-header gets role=button, aria-label, tabindex=0, Enter/Space handler; expand-indicator no longer aria-hidden	docs/script.js,docs/styles.css	Keyboard-accessible expand affordance	ctype=feat [persona-gate]
T3.4	DONE	none	grep -qE '\.event-oneliner.*-webkit-line-clamp|\.event-oneliner[^{]*\{[^}]*line-clamp' docs/styles.css || grep -q '-webkit-line-clamp: 2' docs/styles.css	event-oneliner on card face clamped to 2 lines via -webkit-line-clamp	docs/styles.css	Two-line clamp on event-oneliner card-face	ctype=fix
T3.5	DONE	T3.1,T3.2,T3.3	.venv/bin/python -c "import json; inv=json.load(open('.overnight/feature-inventory.json')); ids=[x['id'] for x in inv]; assert 'card-venue-address' in ids and 'card-ticket-link' in ids and 'keyboard-expand' in ids"	feature-inventory has card-venue-address, card-ticket-link, keyboard-expand entries	.overnight/feature-inventory.json	Feature-inventory entries for card-face fixes	ctype=feat
T4.1	DONE	none	grep -qE '\.subscribe-links[^{]*\{[^}]*flex-wrap' docs/styles.css && grep -qE '\.event-title-text[^{]*\{[^}]*word-break' docs/styles.css && grep -qE '\.expand-indicator[^{]*\{[^}]*min-width' docs/styles.css && grep -qE '@media.*max-width.*320' docs/styles.css && grep -qE '#event-search[^{]*\{[^}]*padding-right' docs/styles.css	All mobile CSS fixes applied: flex-wrap on subscribe-links, word-break on title, min-width on expand-indicator, 320px breakpoint, search padding	docs/styles.css	Mobile hardening CSS suite (subscribe-links wrap + title word-break + expand min-width + 320px breakpoint + search padding)	ctype=fix
T5.1	TODO	T1.5,T3.5	.venv/bin/python -c "import json; inv=json.load(open('.overnight/feature-inventory.json')); assert len(inv)>=len([x for x in inv if 'since_commit' in x]) and len(inv)>=48"	feature-inventory has at least 48 entries (v2 ended at 50 or so; v3 adds 6+)	.overnight/feature-inventory.json	Feature-inventory sweep	ctype=chore
T5.2	TODO	TA.1,T1.5,T2.5,T3.5,T4.1	.venv/bin/python -m pytest -q && .venv/bin/python scripts/persona_critique.py --fast --out docs/PERSONAS-fast.md && grep -qE 'PASS.*6|6.*PASS' docs/PERSONAS-fast.md	Full pytest green; fast persona critique writes PERSONAS-fast.md; 6/6 structural PASS	docs/PERSONAS-fast.md	Fast persona critique smoke	ctype=chore
T5.3	TODO	TA.1,TA.2,T5.2	.venv/bin/python scripts/persona_critique.py --out docs/PERSONAS.md && .venv/bin/python -c "import re; md=open('docs/PERSONAS.md').read(); fails=len(re.findall(r'Verdict.*FAIL', md)); assert fails==0, f'LLM council has {fails} FAIL verdicts; must be 0'"	Full LLM council returns 6/6 PASS on both structural and LLM layers; PERSONAS.md has zero FAIL verdicts	docs/PERSONAS.md	Full LLM persona council gate	ctype=chore [no-council]
T5.4	TODO	T5.3	test -f STATUS-20260422-203219.md && grep -qi 'verification checklist' STATUS-20260422-203219.md	STATUS-20260422-203219.md exists with verification checklist and post-run manual steps	STATUS-20260422-203219.md	Write STATUS handoff file	ctype=docs
